,TO STATION NAME,Trip_Duration,Trip,Start_Coords,End_Coords,Median_Duration_Mins,Median_Unix_StartTime,Median_Age,Size,Public_Duration
601,State St & 33rd St,3.533333333333333,"41.8349,-87.61793|41.834734000000005,-87.625813","41.8349,-87.61793","41.834734000000005,-87.625813",3.6166666666666663,1494751500,32.0,167,
264,Broadway & Berwyn Ave,2.8,"41.97799665,-87.66804711|41.978353000000006,-87.65975300000001","41.97799665,-87.66804711","41.978353000000006,-87.65975300000001",3.183333333333333,1494955110,57.0,166,
536,Sheffield Ave & Wellington Ave,3.35,"41.935733,-87.663576|41.936265999999996,-87.652662","41.935733,-87.663576","41.936265999999996,-87.652662",3.8333333333333335,1494836340,38.0,166,
2796,Canal St & Adams St,10.15,"41.88389277,-87.62464914|41.879255,-87.639904","41.88389277,-87.62464914","41.879255,-87.639904",9.816666666666666,1495039800,30.0,165,
7924,Streeter Dr & Grand Ave,20.133333333333333,"41.926277,-87.630834|41.892278000000005,-87.612043","41.926277,-87.630834","41.892278000000005,-87.612043",19.933333333333334,1495192800,47.5,165,
597,University Ave & 57th St,5.116666666666666,"41.78509715,-87.60107276|41.791478000000005,-87.599861","41.78509715,-87.60107276","41.791478000000005,-87.599861",3.9166666666666665,1494930600,33.0,164,
17,Clark St & Berwyn Ave,5.066666666666666,"41.978353000000006,-87.65975300000001|41.97799665,-87.66804711","41.978353000000006,-87.65975300000001","41.97799665,-87.66804711",3.4166666666666665,1495053180,28.0,160,
102,Clinton St & Jackson Blvd,5.8,"41.88917683,-87.63850577|41.878534,-87.640978","41.88917683,-87.63850577","41.878534,-87.640978",6.466666666666668,1494608460,42.0,159,
3263,Southport Ave & Wrightwood Ave,4.766666666666667,"41.92560188,-87.65370804|41.928773,-87.663913","41.92560188,-87.65370804","41.928773,-87.663913",5.041666666666666,1494958020,35.0,152,
2260,Streeter Dr & Grand Ave,31.066666666666666,"41.880958,-87.616743|41.892278000000005,-87.612043","41.880958,-87.616743","41.892278000000005,-87.612043",11.683333333333335,1495717920,34.0,151,
